,P-value,Significant,Risk Ratio,Confidence Interval
Certain infectious and parasitic diseases,0.0,Yes,6.07,"(5.64, 6.54)"
Neoplasms,0.0,Yes,6.29,"(5.72, 6.92)"
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,4.778667619539571e-293,Yes,5.93,"(5.28, 6.65)"
"Endocrine, nutritional and metabolic diseases",0.0,Yes,5.75,"(5.3, 6.24)"
"Mental, Behavioral and Neurodevelopmental disorders",0.0,Yes,5.97,"(5.55, 6.42)"
Diseases of the nervous system,0.0,Yes,5.66,"(5.22, 6.14)"
Diseases of the eye and adnexa,0.0,Yes,5.69,"(5.22, 6.2)"
Diseases of the ear and mastoid process,0.0,Yes,6.25,"(5.7, 6.86)"
Diseases of the circulatory system,0.0,Yes,6.04,"(5.58, 6.53)"
Diseases of the respiratory system,0.0,Yes,6.03,"(5.6, 6.49)"
Diseases of the digestive system,0.0,Yes,5.91,"(5.47, 6.39)"
Diseases of the skin and subcutaneous tissue,0.0,Yes,5.81,"(5.38, 6.28)"
Diseases of the musculoskeletal system and connective tissue,0.0,Yes,5.96,"(5.54, 6.41)"
Diseases of the genitourinary system,0.0,Yes,5.87,"(5.44, 6.33)"
"Congenital malformations, deformations and chromosomal abnormalities",0.0,Yes,5.95,"(5.4, 6.55)"
